Date,Open,High,Low,Close,Adj Close,Volume
2020-01-23,62.570000,62.660000,60.709999,61.549999,61.549999,4071701
2020-01-24,62.000000,63.049999,57.840000,59.250000,59.250000,6580248
2020-01-27,56.580002,58.160000,55.310299,58.060001,58.060001,4425855
2020-01-28,58.660000,59.639999,58.130001,59.070000,59.070000,3073983
2020-01-29,60.000000,61.779999,59.740002,60.259998,60.259998,3483081
2020-01-30,60.000000,62.560001,58.939999,62.450001,62.450001,4162821
2020-01-31,62.500000,63.000000,60.250000,61.090000,61.090000,4062159
2020-02-03,61.130001,61.459999,59.650002,61.080002,61.080002,3706758
2020-02-04,61.919998,64.330002,61.150002,63.555000,63.555000,4618990
2020-02-05,64.209999,64.800003,60.060001,61.814999,61.814999,3998594
2020-02-06,61.599998,62.980000,60.180000,62.189999,62.189999,2259841
2020-02-07,62.000000,63.720001,61.820000,62.090000,62.090000,3055678
2020-02-10,62.330002,63.860001,61.450001,63.299999,63.299999,3877454
2020-02-11,66.000000,66.839996,63.655201,65.190002,65.190002,7978151
2020-02-12,65.190002,65.500000,62.720001,65.080002,65.080002,5448316
2020-02-13,64.250000,66.199997,64.129997,65.309998,65.309998,4124467
2020-02-14,65.809998,65.830002,63.869999,64.849998,64.849998,4202496
2020-02-18,65.000000,66.279999,64.550003,66.040001,66.040001,4326970
2020-02-19,66.629997,67.559998,65.610001,66.029999,66.029999,5306912
2020-02-20,65.699997,65.980003,60.029999,63.380001,63.380001,6179145
2020-02-21,62.580002,62.639999,59.259998,60.930000,60.930000,4629137
2020-02-24,56.400002,59.250000,56.020000,58.080002,58.080002,4638814
2020-02-25,59.500000,59.790001,56.060001,57.740002,57.740002,5337941
2020-02-26,58.389999,60.259998,57.509998,58.459999,58.459999,4429001
2020-02-27,56.150002,59.450001,54.345001,57.500000,57.500000,4874094
2020-02-28,55.599998,60.020000,55.500000,59.639999,59.639999,4450477
2020-03-02,60.200001,60.970001,58.000000,59.130001,59.130001,4013660
2020-03-03,59.610001,60.732498,55.009998,56.480000,56.480000,4071468
2020-03-04,57.180000,58.080002,56.060001,57.200001,57.200001,2320969
2020-03-05,56.080002,57.439999,54.549999,55.919998,55.919998,3212544
2020-03-06,54.240002,54.869999,50.360001,51.959999,51.959999,5119948
2020-03-09,46.810001,48.889999,45.650002,45.740002,45.740002,5816707
2020-03-10,48.470001,48.470001,45.000000,46.910000,46.910000,4569922
2020-03-11,45.959999,46.299999,42.230000,42.849998,42.849998,5395728
2020-03-12,38.599998,40.200001,35.980000,37.820000,37.820000,6636462
2020-03-13,39.900002,40.080002,36.590000,39.549999,39.549999,5015228
2020-03-16,36.000000,36.000000,32.119999,33.009998,33.009998,6816301
2020-03-17,33.930000,38.299999,31.950001,38.009998,38.009998,5664702
2020-03-18,35.759998,41.470001,35.500000,38.630001,38.630001,6358453
2020-03-19,40.430000,44.490002,38.200001,41.740002,41.740002,7442733
2020-03-20,49.955002,51.970001,46.810001,49.009998,49.009998,14253612
2020-03-23,46.240002,53.000000,46.009998,51.450001,51.450001,11127193
2020-03-24,54.919998,58.650002,54.279999,57.330002,57.330002,8087964
2020-03-25,56.000000,59.500000,55.599998,55.779999,55.779999,5517240
2020-03-26,55.840000,59.099998,55.040001,58.639999,58.639999,5840860
2020-03-27,57.020000,59.869999,56.020000,58.790001,58.790001,3826133
2020-03-30,58.810001,59.830002,56.270000,57.720001,57.720001,4449457
2020-03-31,57.029999,60.029999,55.259998,55.680000,55.680000,4925797
2020-04-01,54.000000,56.549999,53.529999,54.580002,54.580002,3113910
2020-04-02,54.509998,56.919998,54.110001,56.689999,56.689999,3058704
2020-04-03,55.849998,59.250000,55.849998,57.820000,57.820000,4555900
2020-04-06,59.080002,60.529999,58.660000,59.070000,59.070000,5008134
2020-04-07,59.450001,61.299999,57.750000,59.599998,59.599998,7472839
2020-04-08,59.650002,60.880001,59.049999,60.320000,60.320000,4337540
2020-04-09,60.480000,60.790001,57.500000,58.150002,58.150002,3752874
2020-04-13,58.000000,59.369999,57.360001,58.770000,58.770000,2867117
2020-04-14,59.990002,62.000000,58.500000,60.889999,60.889999,6485718
2020-04-15,59.340000,62.639999,58.730000,61.820000,61.820000,4196854
2020-04-16,62.000000,64.449997,61.540001,63.450001,63.450001,5002061
2020-04-17,64.459999,65.620003,63.250000,64.739998,64.739998,4139739
2020-04-20,64.870003,70.199997,64.389999,68.430000,68.430000,6529901
2020-04-21,68.660004,70.500000,62.770000,66.070000,66.070000,6950252
2020-04-22,67.669998,69.309998,67.230003,68.070000,68.070000,3734368
2020-04-23,68.059998,69.959999,68.000000,68.910004,68.910004,3064956
2020-04-24,69.000000,74.650002,68.894997,72.000000,72.000000,9725058
2020-04-27,73.000000,75.000000,72.019997,73.599998,73.599998,4360219
2020-04-28,74.000000,74.709999,68.389999,70.129997,70.129997,4634072
2020-04-29,71.000000,71.599998,68.190002,69.279999,69.279999,6111394
2020-04-30,69.279999,69.279999,67.120003,67.660004,67.660004,2216753
2020-05-01,66.279999,70.190002,65.800003,69.209999,69.209999,2997771
2020-05-04,68.349998,73.669998,67.809998,73.430000,73.430000,3899618
2020-05-05,74.269997,75.000000,70.879997,71.589996,71.589996,3743180
2020-05-06,71.940002,73.620003,69.320000,72.440002,72.440002,4492886
2020-05-07,74.000000,76.750000,73.660004,75.489998,75.489998,5661630
2020-05-08,76.550003,77.959999,75.000000,76.699997,76.699997,3464212
2020-05-11,77.050003,78.349998,76.150002,76.230003,76.230003,2418245
2020-05-12,77.000000,80.629997,75.309998,76.150002,76.150002,4514351
2020-05-13,77.860001,79.300003,73.120003,76.570000,76.570000,4333098
2020-05-14,76.000000,77.400002,74.529999,77.139999,77.139999,3322230
2020-05-15,77.500000,80.290001,76.330002,77.139999,77.139999,3292902
2020-05-18,78.110001,78.989998,75.779999,76.099998,76.099998,2869357
2020-05-19,76.529999,79.580002,76.500000,78.550003,78.550003,2675401
2020-05-20,80.720001,81.739998,79.150299,80.970001,80.970001,3564140
2020-05-21,81.620003,81.870003,78.814796,80.599998,80.599998,2072322
2020-05-22,81.000000,82.699997,80.000000,82.220001,82.220001,2823015
2020-05-26,83.389999,83.400002,77.949997,79.349998,79.349998,4122386
2020-05-27,79.000000,79.000000,71.510101,77.989998,77.989998,7021299
2020-05-28,78.199997,82.279999,78.000000,79.500000,79.500000,3816778
2020-05-29,83.190002,88.000000,81.199997,87.809998,87.809998,13487761
